,instance_name,seed,c,w,n,wmin,wmax,lb,gurobi_n_bins,gurobi_bin_for_item,gurobi_runtime,bin_filling,AL_SA_min_eigenvalue,AL_SA_eigenval_prob,AL_SA_yi,AL_SA_xij,AL_SA_runtime,AL_SA_assignment,AL_SA_real_weights_sum,AL_SA_placed_weights_sum,AL_SA_used_items,AL_SA_feasible,AL_SA_reason,AL_SA_penalties_dict_delta,AL_SA_penalties_dict_theta,AL_SA_penalties_dict_lmbd,AL_SA_penalties_dict_rho,AL_SA_penalties_dict_gamma
0,bpp_3_10,23,10,"[4, 8, 6]",3,4,8,2,2.000000,"[2, 0, 2]",459.000000,"{2: 10, 0: 8}",0.133400,0.267000,"['2', '1']","['2', '1']",221142.530441,"[('1', 8), ('2', 10)]",18,18,"[1, 0, 2]",True,[],0.150000,2,0.138900,0.027800,1
1,bpp_4_10,23,10,"[7, 5, 4, 7]",4,4,7,3,3.000000,"[1, 3, 3, 2]",975.000000,"{1: 7, 3: 9, 2: 7}",0.005900,0.050000,"['3', '1', '0']","['3', '1', '0']",370655.059814,"[('0', 7), ('1', 7), ('3', 9)]",23,23,"[0, 3, 1, 2]",True,[],0.150000,2,0.138900,0.027800,1
2,bpp_5_10,23,10,"[4, 4, 7, 7, 9]",5,4,9,4,4.000000,"[0, 0, 4, 2, 1]",1287.000000,"{0: 8, 4: 7, 2: 7, 1: 9}",-0.010700,0.006000,"['3', '4', '1', '0']","['3', '4', '1', '0']",570312.261581,"[('0', 7), ('1', 8), ('3', 7), ('4', 9)]",31,31,"[3, 0, 1, 2, 4]",True,[],0.150000,2,0.138900,0.027800,1
3,bpp_6_10,23,10,"[6, 5, 5, 5, 4, 8]",6,4,8,4,4.000000,"[2, 4, 4, 1, 1, 0]",1424.000000,"{2: 6, 4: 10, 1: 9, 0: 8}",0.211500,0.001000,"['2', '4', '1', '5']","['2', '4', '1', '5']",758286.714554,"[('1', 6), ('2', 9), ('4', 8), ('5', 10)]",33,33,"[0, 2, 4, 5, 1, 3]",True,[],0.150000,2,0.138900,0.027800,1
4,bpp_7_10,23,10,"[8, 6, 8, 6, 8, 6, 6]",7,6,8,5,7.000000,"[0, 2, 6, 4, 3, 5, 1]",9249.000000,"{0: 8, 2: 6, 6: 8, 4: 6, 3: 8, 5: 6, 1: 6}",0.537600,0.004000,"['3', '1', '6', '4', '0', '5', '2']","['3', '1', '6', '4', '0', '5', '2']",1005665.063858,"[('0', 6), ('1', 8), ('2', 8), ('3', 6), ('4', 8), ('5', 6), ('6', 6)]",48,48,"[1, 2, 4, 5, 0, 3, 6]",True,[],0.150000,2,0.075800,0.015200,1
5,bpp_8_10,23,10,"[4, 5, 6, 4, 5, 4, 6, 4]",8,4,6,4,4.000000,"[0, 1, 0, 2, 1, 2, 6, 6]",2776.000000,"{0: 10, 1: 10, 2: 8, 6: 10}",0.139600,0.001000,"['7', '1', '0', '5', '2']","['7', '1', '0', '5', '2']",1290739.297867,"[('0', 9), ('1', 6), ('2', 8), ('5', 6), ('7', 9)]",38,38,"[3, 4, 6, 0, 5, 2, 1, 7]",True,[],0.150000,2,0.138900,0.027800,1
6,bpp_9_10,23,10,"[7, 5, 8, 4, 7, 4, 8, 5, 4]",9,4,8,6,7.000000,"[2, 7, 6, 1, 5, 1, 0, 8, 8]",1290.000000,"{2: 7, 7: 5, 6: 8, 1: 8, 5: 7, 0: 8, 8: 9}",0.106600,0.001000,"['3', '7', '8', '1', '6', '0', '5']","['3', '7', '8', '1', '6', '0', '5']",1620402.336121,"[('0', 7), ('1', 8), ('3', 8), ('5', 9), ('6', 8), ('7', 7), ('8', 5)]",52,52,"[4, 3, 8, 2, 5, 7, 6, 0, 1]",True,[],0.150000,2,0.138900,0.027800,1
7,bpp_10_10,23,10,"[5, 7, 5, 7, 9, 9, 4, 9, 6, 4]",10,4,9,7,8.000000,"[5, 0, 8, 7, 6, 9, 8, 2, 4, 4]",3511.000000,"{5: 5, 0: 7, 8: 9, 7: 7, 6: 9, 9: 9, 2: 9, 4: 10}",0.200700,0.001000,"['3', '7', '8', '1', '6', '0', '5', '2']","['3', '7', '8', '1', '6', '0', '5', '2']",2231537.342072,"[('0', 9), ('1', 9), ('2', 7), ('3', 6), ('5', 9), ('6', 9), ('7', 9), ('8', 7)]",65,65,"[5, 0, 9, 3, 8, 7, 2, 6, 4, 1]",True,[],0.150000,2,0.138900,0.027800,1
8,bpp_3_10,42,10,"[4, 8, 7]",3,4,8,2,3.000000,"[2, 0, 1]",506.000000,"{2: 4, 0: 8, 1: 7}",0.284300,0.145000,"['2', '1', '0']","['2', '1', '0']",332844.018936,"[('0', 8), ('1', 4), ('2', 7)]",19,19,"[1, 0, 2]",True,[],0.150000,2,0.138900,0.027800,1
9,bpp_4_10,42,10,"[6, 6, 9, 4]",4,4,9,3,3.000000,"[2, 0, 1, 0]",678.000000,"{2: 6, 0: 10, 1: 9}",0.228100,0.013000,"['2', '3', '0']","['2', '3', '0']",525719.404221,"[('0', 10), ('2', 6), ('3', 9)]",25,25,"[1, 3, 0, 2]",True,[],0.150000,2,0.138900,0.027800,1
10,bpp_5_10,42,10,"[8, 5, 4, 7, 9]",5,4,9,4,4.000000,"[1, 0, 0, 4, 3]",768.000000,"{1: 8, 0: 9, 4: 7, 3: 9}",0.044700,0.390000,"['2', '4', '3', '0']","['2', '4', '3', '0']",814884.662628,"[('0', 8), ('2', 9), ('3', 9), ('4', 7)]",33,33,"[0, 4, 1, 2, 3]",True,[],0.150000,2,0.138900,0.027800,1
11,bpp_6_10,42,10,"[8, 8, 8, 8, 7, 4]",6,4,8,5,6.000000,"[5, 2, 0, 4, 1, 3]",972.000000,"{5: 8, 2: 8, 0: 8, 4: 8, 1: 7, 3: 4}",0.234500,0.029000,"['3', '1', '4', '0', '5', '2']","['3', '1', '4', '0', '5', '2']",1119085.073471,"[('0', 8), ('1', 8), ('2', 8), ('3', 8), ('4', 4), ('5', 7)]",43,43,"[1, 3, 2, 0, 5, 4]",True,[],0.150000,2,0.138900,0.027800,1
12,bpp_7_10,42,10,"[9, 6, 7, 6, 5, 9, 8]",7,5,9,5,7.000000,"[0, 2, 6, 4, 3, 5, 1]",775.000000,"{0: 9, 2: 6, 6: 7, 4: 6, 3: 5, 5: 9, 1: 8}",0.490000,0.001000,"['3', '1', '6', '4', '0', '5', '2']","['3', '1', '6', '4', '0', '5', '2']",1495479.583740,"[('0', 7), ('1', 6), ('2', 9), ('3', 9), ('4', 8), ('5', 6), ('6', 5)]",50,50,"[2, 3, 0, 5, 6, 1, 4]",True,[],0.150000,2,0.100000,0.020000,1
13,bpp_8_10,42,10,"[7, 6, 8, 7, 6, 6, 5, 4]",8,4,8,5,7.000000,"[6, 0, 4, 3, 1, 5, 7, 0]",7053.000000,"{6: 7, 0: 10, 4: 8, 3: 7, 1: 6, 5: 6, 7: 5}",0.106900,0.001000,"['3', '7', '1', '4', '0', '5', '2']","['3', '7', '1', '4', '0', '5', '2']",1250164.985657,"[('0', 8), ('1', 6), ('2', 6), ('3', 7), ('4', 6), ('5', 7), ('7', 9)]",49,49,"[2, 4, 1, 3, 5, 0, 6, 7]",True,[],0.150000,2,0.138900,0.027800,1
14,bpp_9_10,42,10,"[7, 9, 4, 9, 8, 5, 7, 4, 8]",9,4,9,7,8.000000,"[2, 7, 6, 1, 5, 8, 0, 8, 3]",1292.000000,"{2: 7, 7: 9, 6: 4, 1: 9, 5: 8, 8: 9, 0: 7, 3: 8}",0.145500,0.004000,"['3', '8', '1', '6', '4', '0', '5', '2']","['3', '8', '1', '6', '4', '0', '5', '2']",1534720.659256,"[('0', 8), ('1', 9), ('2', 8), ('3', 7), ('4', 7), ('5', 5), ('6', 8), ('8', 9)]",61,61,"[4, 3, 8, 6, 0, 5, 2, 7, 1]",True,[],0.150000,2,0.138900,0.027800,1
15,bpp_10_10,42,10,"[8, 6, 4, 9, 6, 9, 8, 8, 8, 5]",10,4,9,8,9.000000,"[9, 2, 1, 7, 0, 5, 6, 3, 4, 1]",3637.000000,"{9: 8, 2: 6, 1: 9, 7: 9, 0: 6, 5: 9, 6: 8, 3: 8, 4: 8}",0.128700,0.001000,"['3', '7', '8', '1', '9', '6', '0', '5', '2']","['3', '7', '8', '1', '9', '6', '0', '5', '2']",1879301.548004,"[('0', 8), ('1', 9), ('2', 6), ('3', 9), ('5', 8), ('6', 8), ('7', 8), ('8', 6), ('9', 9)]",71,71,"[8, 2, 9, 4, 3, 7, 0, 6, 1, 5]",True,[],0.150000,2,0.138900,0.027800,1
16,bpp_3_10,123,10,"[4, 8, 7]",3,4,8,2,3.000000,"[2, 0, 1]",421.000000,"{2: 4, 0: 8, 1: 7}",0.284300,0.145000,"['2', '1', '0']","['2', '1', '0']",203503.608704,"[('0', 8), ('1', 4), ('2', 7)]",19,19,"[1, 0, 2]",True,[],0.150000,2,0.138900,0.027800,1
17,bpp_4_10,123,10,"[4, 9, 5, 5]",4,4,9,3,3.000000,"[2, 0, 2, 3]",487.000000,"{2: 9, 0: 9, 3: 5}",0.228300,0.137000,"['2', '3', '1']","['2', '3', '1']",350467.920303,"[('1', 5), ('2', 9), ('3', 9)]",23,23,"[3, 0, 2, 1]",True,[],0.150000,2,0.138900,0.027800,1
18,bpp_5_10,123,10,"[5, 6, 5, 6, 8]",5,5,8,3,4.000000,"[0, 4, 0, 3, 2]",679.000000,"{0: 10, 4: 6, 3: 6, 2: 8}",0.320000,0.003000,"['3', '4', '1', '0']","['3', '4', '1', '0']",522173.881531,"[('0', 10), ('1', 6), ('3', 6), ('4', 8)]",30,30,"[0, 2, 1, 3, 4]",True,[],0.150000,2,0.100000,0.020000,1
19,bpp_6_10,123,10,"[6, 9, 6, 5, 8, 8]",6,5,9,5,6.000000,"[5, 2, 0, 4, 1, 3]",646.000000,"{5: 6, 2: 9, 0: 6, 4: 5, 1: 8, 3: 8}",0.420000,0.001000,"['3', '1', '4', '0', '5', '2']","['3', '1', '4', '0', '5', '2']",725148.439407,"[('0', 6), ('1', 9), ('2', 8), ('3', 8), ('4', 6), ('5', 5)]",42,42,"[2, 1, 5, 4, 0, 3]",True,[],0.150000,2,0.100000,0.020000,1
20,bpp_7_10,123,10,"[9, 9, 4, 7, 5, 5, 5]",7,4,9,5,5.000000,"[4, 2, 1, 3, 5, 5, 1]",1664.000000,"{4: 9, 2: 9, 1: 9, 3: 7, 5: 10}",0.250200,0.001000,"['3', '1', '6', '5', '2']","['3', '1', '6', '5', '2']",941184.997559,"[('1', 9), ('2', 7), ('3', 9), ('5', 9), ('6', 10)]",44,44,"[1, 3, 2, 5, 0, 4, 6]",True,[],0.150000,2,0.138900,0.027800,1
21,bpp_8_10,123,10,"[8, 8, 5, 6, 8, 4, 7, 6]",8,4,8,6,7.000000,"[6, 0, 4, 3, 1, 5, 7, 5]",1167.000000,"{6: 8, 0: 8, 4: 5, 3: 6, 1: 8, 5: 10, 7: 7}",0.051000,0.001000,"['3', '7', '1', '6', '0', '5', '2']","['3', '7', '1', '6', '0', '5', '2']",1216483.592987,"[('0', 9), ('1', 7), ('2', 8), ('3', 8), ('5', 6), ('6', 6), ('7', 8)]",52,52,"[2, 5, 6, 1, 4, 3, 7, 0]",True,[],0.150000,2,0.138900,0.027800,1
22,bpp_9_10,123,10,"[9, 8, 5, 9, 8, 5, 7, 8, 5]",9,5,9,7,8.000000,"[2, 7, 6, 1, 5, 8, 0, 3, 8]",1966.000000,"{2: 9, 7: 8, 6: 5, 1: 9, 5: 8, 8: 10, 0: 7, 3: 8}",0.560000,0.001000,"['3', '7', '8', '1', '4', '0', '5', '2']","['3', '7', '8', '1', '4', '0', '5', '2']",2969026.088715,"[('0', 5), ('1', 7), ('2', 8), ('3', 10), ('4', 8), ('5', 9), ('7', 9), ('8', 8)]",64,64,"[8, 6, 1, 2, 5, 4, 0, 3, 7]",True,[],0.150000,2,0.100000,0.020000,1
23,bpp_10_10,123,10,"[5, 4, 4, 6, 4, 7, 6, 5, 6, 4]",10,4,7,6,6.000000,"[0, 4, 2, 4, 6, 9, 6, 0, 2, 7]",2915.000000,"{0: 10, 4: 10, 2: 10, 6: 10, 9: 7, 7: 4}",0.162300,0.007000,"['3', '7', '8', '1', '9', '6', '2']","['3', '7', '8', '1', '9', '6', '2']",3147612.571716,"[('1', 8), ('2', 6), ('3', 6), ('6', 9), ('7', 7), ('8', 6), ('9', 9)]",51,51,"[1, 2, 6, 8, 4, 7, 5, 3, 0, 9]",True,[],0.150000,2,0.138900,0.027800,1
24,bpp_3_10,90,10,"[7, 6, 4]",3,4,7,2,2.000000,"[1, 0, 0]",417.000000,"{1: 7, 0: 10}",0.133500,0.246000,"['2', '1']","['2', '1']",205794.095993,"[('1', 7), ('2', 10)]",17,17,"[0, 1, 2]",True,[],0.150000,2,0.138900,0.027800,1
25,bpp_4_10,90,10,"[8, 5, 7, 5]",4,5,8,3,3.000000,"[2, 0, 1, 0]",588.000000,"{2: 8, 0: 10, 1: 7}",0.210000,0.030000,"['2', '3', '0']","['2', '3', '0']",349339.485168,"[('0', 7), ('2', 8), ('3', 10)]",25,25,"[2, 0, 1, 3]",True,[],0.150000,2,0.100000,0.020000,1
26,bpp_5_10,90,10,"[6, 7, 8, 7, 4]",5,4,8,4,4.000000,"[0, 3, 4, 2, 0]",683.000000,"{0: 10, 3: 7, 4: 8, 2: 7}",0.100400,0.047000,"['3', '4', '1', '0']","['3', '4', '1', '0']",503931.999207,"[('0', 7), ('1', 10), ('3', 7), ('4', 8)]",32,32,"[1, 0, 4, 3, 2]",True,[],0.150000,2,0.138900,0.027800,1
27,bpp_6_10,90,10,"[6, 8, 8, 9, 9, 6]",6,6,9,5,6.000000,"[5, 2, 0, 4, 1, 3]",972.000000,"{5: 6, 2: 8, 0: 8, 4: 9, 1: 9, 3: 6}",0.477200,0.003000,"['3', '1', '4', '0', '5', '2']","['3', '1', '4', '0', '5', '2']",727917.194366,"[('0', 9), ('1', 6), ('2', 8), ('3', 9), ('4', 6), ('5', 8)]",46,46,"[3, 0, 1, 4, 5, 2]",True,[],0.150000,2,0.075800,0.015200,1
28,bpp_7_10,90,10,"[5, 4, 4, 4, 8, 9, 6]",7,4,9,4,5.000000,"[0, 2, 2, 4, 3, 5, 4]",1084.000000,"{0: 5, 2: 8, 4: 10, 3: 8, 5: 9}",0.083800,0.005000,"['1', '6', '0', '5', '2']","['1', '6', '0', '5', '2']",956829.786301,"[('0', 9), ('1', 8), ('2', 6), ('5', 9), ('6', 8)]",40,40,"[0, 1, 2, 3, 6, 5, 4]",True,[],0.150000,2,0.138900,0.027800,1
29,bpp_8_10,90,10,"[7, 9, 7, 8, 8, 5, 5, 8]",8,5,9,6,7.000000,"[5, 3, 1, 6, 4, 0, 0, 7]",1999.000000,"{5: 7, 3: 9, 1: 7, 6: 8, 4: 8, 0: 10, 7: 8}",0.370000,0.001000,"['3', '7', '1', '6', '0', '5', '2']","['3', '7', '1', '6', '0', '5', '2']",1227076.530457,"[('0', 10), ('1', 8), ('2', 9), ('3', 8), ('5', 7), ('6', 8), ('7', 7)]",57,57,"[5, 6, 4, 1, 7, 2, 3, 0]",True,[],0.150000,2,0.100000,0.020000,1
30,bpp_9_10,90,10,"[8, 5, 4, 9, 9, 5, 4, 4, 5]",9,4,9,6,6.000000,"[5, 2, 7, 8, 4, 3, 7, 2, 3]",2116.000000,"{5: 8, 2: 9, 7: 8, 8: 9, 4: 9, 3: 10}",0.177900,0.001000,"['3', '7', '8', '6', '4', '5']","['3', '7', '8', '6', '4', '5']",1578178.882599,"[('3', 8), ('4', 9), ('5', 9), ('6', 9), ('7', 9), ('8', 9)]",53,53,"[0, 3, 1, 7, 4, 5, 6, 2, 8]",True,[],0.150000,2,0.138900,0.027800,1
31,bpp_10_10,90,10,"[8, 6, 8, 7, 7, 9, 8, 6, 8, 9]",10,6,9,8,10.000000,"[9, 2, 1, 7, 0, 5, 6, 3, 4, 8]",2299.000000,"{9: 8, 2: 6, 1: 8, 7: 7, 0: 7, 5: 9, 6: 8, 3: 6, 4: 8, 8: 9}",0.714400,0.006000,"['3', '7', '8', '1', '9', '6', '4', '0', '5', '2']","['3', '7', '8', '1', '9', '6', '4', '0', '5', '2']",1950383.901596,"[('0', 7), ('1', 8), ('2', 7), ('3', 8), ('4', 9), ('5', 9), ('6', 6), ('7', 6), ('8', 8), ('9', 8)]",76,76,"[3, 0, 4, 2, 9, 5, 1, 7, 8, 6]",True,[],0.150000,2,0.075800,0.015200,1
32,bpp_3_10,510,10,"[5, 7, 6]",3,5,7,2,3.000000,"[2, 0, 1]",453.000000,"{2: 5, 0: 7, 1: 6}",0.250000,0.168000,"['2', '1', '0']","['2', '1', '0']",210914.134979,"[('0', 6), ('1', 5), ('2', 7)]",18,18,"[2, 0, 1]",True,[],0.150000,2,0.100000,0.020000,1
33,bpp_4_10,510,10,"[6, 8, 5, 4]",4,4,8,3,3.000000,"[0, 1, 2, 0]",989.000000,"{0: 10, 1: 8, 2: 5}",0.061500,0.044000,"['2', '3', '0']","['2', '3', '0']",338147.640228,"[('0', 8), ('2', 6), ('3', 9)]",23,23,"[1, 0, 2, 3]",True,[],0.150000,2,0.138900,0.027800,1
34,bpp_5_10,510,10,"[6, 9, 4, 8, 4]",5,4,9,4,4.000000,"[0, 3, 4, 2, 0]",758.000000,"{0: 10, 3: 9, 4: 4, 2: 8}",0.044900,0.004000,"['2', '4', '1', '0']","['2', '4', '1', '0']",517608.880997,"[('0', 9), ('1', 8), ('2', 6), ('4', 8)]",31,31,"[1, 3, 0, 2, 4]",True,[],0.150000,2,0.138900,0.027800,1
35,bpp_6_10,510,10,"[4, 5, 8, 9, 8, 6]",6,4,9,4,5.000000,"[5, 2, 0, 4, 1, 5]",1273.000000,"{5: 10, 2: 5, 0: 8, 4: 9, 1: 8}",0.083800,0.078000,"['3', '1', '0', '5', '2']","['3', '1', '0', '5', '2']",698587.656021,"[('0', 8), ('1', 8), ('2', 6), ('3', 9), ('5', 9)]",40,40,"[2, 4, 5, 3, 0, 1]",True,[],0.150000,2,0.138900,0.027800,1
36,bpp_7_10,510,10,"[8, 6, 8, 4, 9, 9, 8]",7,4,9,6,6.000000,"[5, 0, 6, 0, 1, 3, 4]",1625.000000,"{5: 8, 0: 10, 6: 8, 1: 9, 3: 9, 4: 8}",0.178000,0.003000,"['3', '1', '6', '0', '5', '2']","['3', '1', '6', '0', '5', '2']",1181850.910187,"[('0', 8), ('1', 10), ('2', 8), ('3', 9), ('5', 8), ('6', 9)]",52,52,"[0, 1, 3, 6, 5, 2, 4]",True,[],0.150000,2,0.138900,0.027800,1
37,bpp_8_10,510,10,"[8, 9, 7, 8, 4, 4, 8, 5]",8,4,9,6,7.000000,"[6, 0, 4, 3, 1, 5, 7, 1]",1736.000000,"{6: 8, 0: 9, 4: 7, 3: 8, 1: 9, 5: 4, 7: 8}",0.106500,0.001000,"['3', '7', '1', '4', '0', '5', '2']","['3', '7', '1', '4', '0', '5', '2']",1991731.405258,"[('0', 8), ('1', 9), ('2', 7), ('3', 8), ('4', 8), ('5', 8), ('7', 5)]",53,53,"[4, 5, 1, 2, 6, 3, 0, 7]",True,[],0.150000,2,0.138900,0.027800,1
38,bpp_9_10,510,10,"[5, 9, 9, 8, 6, 7, 4, 9, 5]",9,4,9,7,7.000000,"[5, 6, 0, 8, 7, 1, 7, 2, 5]",2257.000000,"{5: 10, 6: 9, 0: 9, 8: 8, 7: 10, 1: 7, 2: 9}",0.312200,0.001000,"['3', '7', '8', '6', '4', '0', '5', '2']","['3', '7', '8', '6', '4', '0', '5', '2']",2370825.767517,"[('0', 7), ('2', 5), ('3', 9), ('4', 6), ('5', 9), ('6', 9), ('7', 9), ('8', 8)]",62,62,"[5, 0, 7, 4, 1, 2, 6, 8, 3]",True,[],0.150000,2,0.138900,0.027800,1
39,bpp_10_10,510,10,"[9, 5, 9, 4, 7, 8, 6, 4, 5, 8]",10,4,9,7,8.000000,"[5, 0, 9, 3, 6, 2, 3, 4, 0, 8]",2895.000000,"{5: 9, 0: 10, 9: 9, 3: 10, 6: 7, 2: 8, 4: 4, 8: 8}",0.145100,0.001000,"['3', '8', '1', '9', '6', '4', '0', '2']","['3', '8', '1', '9', '6', '4', '0', '2']",1943184.852600,"[('0', 8), ('1', 7), ('2', 6), ('3', 9), ('4', 9), ('6', 9), ('8', 9), ('9', 8)]",65,65,"[9, 4, 6, 2, 0, 1, 3, 7, 8, 5]",True,[],0.150000,2,0.138900,0.027800,1
